//////////   SYSTEMHUB1 ///////////

A1	1	2573	1		4
A2	1	7662	2		4
A3	1	17483	3		4
A4	1	52082	4		5
A5	1	15588	5		4
A6	1	21677	6		4

A30	1	23440	7		4

A15(R)	2	54110	101	102	5	
A18(R)	2	58810	103	104	6	
A20(R)	2	54337	105	106	6
A17	2	20010	8		4	

A31	3	62553	9		6
A32	3	22727	10		6
T201	3	1673	11		6
T202	3	2606	12		6
T203	3	23558	13		6
T902	3	20288	14		4
T903	3	16382	15		5
T904	3	25295	16		4

E2(R)	3	58812	107	108	5
E3	3	26966	17		4
E4	3	19853	18		4
E5	3	49410	19		4
E6	3	23076	20		4
E7	3	13420	21		4

A21	4	18512	22		5
A22	4	49838	23		5
A23	4	16471	24		5
A24	4	21195	25		5
A25	4		26		5
A26	4	13673	27		5
A27	4	50450	28		5
A28	4	16708	29		5

/////////     SYSTEMHUB2    ///////////

P1	1	23029	1		4
P2(R)	1	54343	127/101	46/102	4
P3	1	62759	249		4
P8(R)	1	54115	128/103	131/104	5
O24(R)	1	54106	124/105	66/106	4
O25	1	59187	2		4

O21(R)	1	54341	126/107	93/108	5
O23(R)	1	54338	115/109	65/110	6
D20-11	1	59144	3		6

R1	2	1659	4		6
R2	2	62794	5		6
R3	2	64713	6		6
R4	2	59195	7		6
R5	2	13400	8		6
R6	2	65128	9		6
R7	2	23207	10		6
R8	2	55233	11		6
R9(R)	2	54335	156/111 200/112	6

O15	2	7177	12		4
O16	2	11903	13		4
O17	2	21670	14		4
O18	2	6499	15		5
O19	2	65126	16		6
O20	2	55019	17		6

C20-01A	3	50392	246	247	0
D20-03	3	64782	18		6
D20-17	3	63375	19		6
D20-18	3	6562	20		6

O9	3	50998	21		6	
O10	3	6349	22		6
O11	3	46663	23		6
O12	3	31781	24		4
O13	3	64807	25		6
O14	3	61746	26		6

N2	4	2216	27		6
N4	4	61263	28		6
O1	4	63356	29		6
O2	4	1646	30		6
O3	4	1197	31		6
O4	4	2290	32		6
O6	4	63029	33		6
O8	4	62758	34		6

D20-13A	4	62754	35		4
D20-13B	4	1609	36		4
D20-15A	4	7038	37		4
D20-15B	4	6038	38		4
P31	4	13366	39		4
P32	4	19706	40		4
R11	4	6391	41		6

P5	5	61739	42		6
V4	5	65108	43		6

D20-01A	6	64430	44		6
D20-01B 6		72		6
D20-04A	6	55280	45		6
D20-04B	6	46650	146		6
D20-04C	6	8212	47		6

D20-05A	6	19743	48		6
D20-05B	6	25692	49		6	
D20-05C	6	26745	50		6
D20-05D	6	15386	51		6
D20-06B	6	1681	52		6
D20-7A	6	50208	53		6
D20-7B	6	28173	54		6
D20-7C	6	18291	55		6










